school,set,strategy,q_high,q_med,q_low,vacc,size
Elementary,novac,No quarantine,0,0,0,0,132
Elementary,novac,No quarantine,0,0,0,0,144
Elementary,novac,No quarantine,0,0,0,0,143
Elementary,novac,No quarantine,0,0,0,0,143
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,113
Elementary,novac,No quarantine,0,0,0,0,136
Elementary,novac,No quarantine,0,0,0,0,146
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,137
Elementary,novac,No quarantine,0,0,0,0,142
Elementary,novac,No quarantine,0,0,0,0,142
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,145
Elementary,novac,No quarantine,0,0,0,0,141
Elementary,novac,No quarantine,0,0,0,0,148
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,152
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,136
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,130
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,137
Elementary,novac,No quarantine,0,0,0,0,111
Elementary,novac,No quarantine,0,0,0,0,154
Elementary,novac,No quarantine,0,0,0,0,148
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,1
Elementary,novac,No quarantine,0,0,0,0,146
Elementary,novac,No quarantine,0,0,0,0,146
Elementary,novac,No quarantine,0,0,0,0,110
Elementary,novac,No quarantine,0,0,0,0,129
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,1
Elementary,novac,No quarantine,0,0,0,0,135
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,145
Elementary,novac,No quarantine,0,0,0,0,130
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,133
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,156
Elementary,novac,No quarantine,0,0,0,0,123
Elementary,novac,No quarantine,0,0,0,0,132
Elementary,novac,No quarantine,0,0,0,0,156
