school,vacc,q_high,q_med,q_low,size
Elementary,0.6,7,0,0,33
Elementary,0.6,7,0,0,45
Elementary,0.6,7,0,0,67
Elementary,0.6,7,0,0,20
Elementary,0.6,7,0,0,22
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,32
Elementary,0.6,7,0,0,24
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,4
Elementary,0.6,7,0,0,14
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,9
Elementary,0.6,7,0,0,3
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,67
Elementary,0.6,7,0,0,66
Elementary,0.6,7,0,0,51
Elementary,0.6,7,0,0,51
Elementary,0.6,7,0,0,42
Elementary,0.6,7,0,0,43
Elementary,0.6,7,0,0,55
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,46
Elementary,0.6,7,0,0,43
Elementary,0.6,7,0,0,32
Elementary,0.6,7,0,0,58
Elementary,0.6,7,0,0,47
Elementary,0.6,7,0,0,40
Elementary,0.6,7,0,0,53
Elementary,0.6,7,0,0,25
Elementary,0.6,7,0,0,37
Elementary,0.6,7,0,0,39
Elementary,0.6,7,0,0,25
Elementary,0.6,7,0,0,66
Elementary,0.6,7,0,0,10
Elementary,0.6,7,0,0,27
Elementary,0.6,7,0,0,37
Elementary,0.6,7,0,0,8
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,49
Elementary,0.6,7,0,0,55
Elementary,0.6,7,0,0,65
Elementary,0.6,7,0,0,48
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,64
Elementary,0.6,7,0,0,22
Elementary,0.6,7,0,0,3
Elementary,0.6,7,0,0,22
Elementary,0.6,7,0,0,33
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,46
Elementary,0.6,7,0,0,63
Elementary,0.6,7,0,0,7
Elementary,0.6,7,0,0,65
Elementary,0.6,7,0,0,42
Elementary,0.6,7,0,0,67
Elementary,0.6,7,0,0,64
Elementary,0.6,7,0,0,45
Elementary,0.6,7,0,0,10
Elementary,0.6,7,0,0,3
Elementary,0.6,7,0,0,30
Elementary,0.6,7,0,0,30
Elementary,0.6,7,0,0,52
Elementary,0.6,7,0,0,66
Elementary,0.6,7,0,0,43
Elementary,0.6,7,0,0,65
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,52
Elementary,0.6,7,0,0,64
Elementary,0.6,7,0,0,37
Elementary,0.6,7,0,0,2
Elementary,0.6,7,0,0,68
Elementary,0.6,7,0,0,17
Elementary,0.6,7,0,0,31
Elementary,0.6,7,0,0,64
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,1
Elementary,0.6,7,0,0,5
Elementary,0.6,7,0,0,24
