school,vacc,q_high,q_med,q_low,P,lo,hi,curve
Elementary,0.6,7,0,0,0.745,0.725440386637636,0.763620225738113,Elementary_0
Elementary,0.6,7,7,0,0.7095,0.689216262843205,0.72898046488218,Elementary_7
Elementary,0.6,7,7,3,0.694,0.673447269310582,0.713808889060418,Elementary_7
Elementary,0.6,7,7,5,0.675,0.654154013667693,0.695174995172128,Elementary_7
Elementary,0.6,7,7,7,0.673,0.652125408321048,0.693211268989175,Elementary_7
Elementary,0.6,14,0,0,0.647,0.625791362971902,0.667645004453547,Elementary_0
Elementary,0.6,14,7,0,0.5965,0.574833356048658,0.617796640254444,Elementary_7
Elementary,0.6,14,7,3,0.5975,0.575840080786238,0.618786081281662,Elementary_7
Elementary,0.6,14,7,5,0.5745,0.552708633974516,0.596005715503008,Elementary_7
Elementary,0.6,14,7,7,0.5585,0.536645467831877,0.580130229408863,Elementary_7
Elementary,0.6,14,14,0,0.5505,0.528622468309369,0.572183902812979,Elementary_14
Elementary,0.6,14,14,3,0.5475,0.525615309496134,0.569202564331818,Elementary_14
Elementary,0.6,14,14,5,0.538,0.516097894172742,0.559756404889619,Elementary_14
Elementary,0.6,14,14,7,0.5245,0.502586827098028,0.546319234139547,Elementary_14
Elementary,0.6,14,14,10,0.507,0.48509627087205,0.528876889481543,Elementary_14
Elementary,0.6,14,14,14,0.506,0.484097619828958,0.527879374759836,Elementary_14
Elementary,0.6,21,0,0,0.589,0.567285861871785,0.610372891195324,Elementary_0
Elementary,0.6,21,7,0,0.5365,0.514595872678195,0.558264177736968,Elementary_7
Elementary,0.6,21,7,3,0.526,0.504087265994216,0.547813043890558,Elementary_7
Elementary,0.6,21,7,5,0.5045,0.482599807176582,0.526382938765013,Elementary_7
Elementary,0.6,21,7,7,0.4975,0.475612615170153,0.519396970417849,Elementary_7
Elementary,0.6,21,14,0,0.478,0.456170887323108,0.499913465851315,Elementary_14
